Nose,Left Eye,Right Eye,Left Ear,Right Ear,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,Left Hip,Right Hip,Left Knee,Right Knee,Left Ankle,Right Ankle,Label
"{'y': -0.0054223947, 'x': 0.47099063, 'confidence': 0.047172263}","{'y': -0.009241555, 'x': 0.43595123, 'confidence': 0.0385117}","{'y': -0.016193647, 'x': 0.51058114, 'confidence': 0.06708095}","{'y': 0.008490618, 'x': 0.40114528, 'confidence': 0.16008975}","{'y': 0.004315247, 'x': 0.5700832, 'confidence': 0.15025625}","{'y': 0.27173394, 'x': 0.2916342, 'confidence': 0.6594683}","{'y': 0.21937622, 'x': 0.68946546, 'confidence': 0.6569146}","{'y': 0.7514918, 'x': 0.2138851, 'confidence': 0.19075598}","{'y': 0.63303363, 'x': 0.80128145, 'confidence': 0.32324758}","{'y': 0.9948628, 'x': 0.2765853, 'confidence': 0.079934396}","{'y': 0.91236025, 'x': 0.78139234, 'confidence': 0.061879426}","{'y': 0.9662851, 'x': 0.5096273, 'confidence': 0.14743946}","{'y': 0.9650073, 'x': 0.69768375, 'confidence': 0.11926314}","{'y': 0.9919267, 'x': 0.5266087, 'confidence': 0.028011888}","{'y': 0.98323953, 'x': 0.8210238, 'confidence': 0.044227682}","{'y': 0.9323443, 'x': 0.67996466, 'confidence': 0.046573777}","{'y': 0.96826744, 'x': 0.7349358, 'confidence': 0.06613186}",1
"{'y': -0.003932186, 'x': 0.49715889, 'confidence': 0.07446308}","{'y': -0.010029891, 'x': 0.45628718, 'confidence': 0.05507758}","{'y': -0.015012581, 'x': 0.52514076, 'confidence': 0.08733189}","{'y': 0.007594102, 'x': 0.41999567, 'confidence': 0.17535119}","{'y': 0.004077989, 'x': 0.56547874, 'confidence': 0.14041017}","{'y': 0.24126706, 'x': 0.31219015, 'confidence': 0.5647143}","{'y': 0.23767126, 'x': 0.69161177, 'confidence': 0.64085984}","{'y': 0.6449529, 'x': 0.7784157, 'confidence': 0.36044675}","{'y': 0.7551958, 'x': 0.20972691, 'confidence': 0.5609618}","{'y': 0.9721763, 'x': 0.7424096, 'confidence': 0.3364171}","{'y': 0.9948351, 'x': 0.28052178, 'confidence': 0.18356222}","{'y': 0.96229786, 'x': 0.6219648, 'confidence': 0.12079752}","{'y': 0.9731871, 'x': 0.5206334, 'confidence': 0.25678164}","{'y': 0.97043544, 'x': 0.62363064, 'confidence': 0.04810109}","{'y': 0.9961641, 'x': 0.6032968, 'confidence': 0.03775534}","{'y': 0.9917007, 'x': 0.39362475, 'confidence': 0.027981421}","{'y': 0.98688394, 'x': 0.6606085, 'confidence': 0.045490228}",1
"{'y': -0.0016045885, 'x': 0.504534, 'confidence': 0.10833187}","{'y': -0.0130274035, 'x': 0.48720518, 'confidence': 0.06112311}","{'y': -0.015436119, 'x': 0.51420176, 'confidence': 0.07503156}","{'y': 0.0017788343, 'x': 0.463214, 'confidence': 0.16317274}","{'y': 0.0023525131, 'x': 0.54764485, 'confidence': 0.18823983}","{'y': 0.24844083, 'x': 0.7054433, 'confidence': 0.7568042}","{'y': 0.23283815, 'x': 0.30740282, 'confidence': 0.6158327}","{'y': 0.7630166, 'x': 0.7873021, 'confidence': 0.55113333}","{'y': 0.75260437, 'x': 0.22461662, 'confidence': 0.33669165}","{'y': 0.9770594, 'x': 0.7046263, 'confidence': 0.04143841}","{'y': 0.9884544, 'x': 0.27687487, 'confidence': 0.1319323}","{'y': 0.9786833, 'x': 0.5880314, 'confidence': 0.23246509}","{'y': 0.97688246, 'x': 0.41460693, 'confidence': 0.221971}","{'y': 0.9766633, 'x': 0.5758981, 'confidence': 0.01234901}","{'y': 0.98723996, 'x': 0.6108639, 'confidence': 0.021031974}","{'y': 0.99626213, 'x': 0.3255374, 'confidence': 0.018546982}","{'y': 0.99788004, 'x': 0.35581398, 'confidence': 0.02260197}",1
"{'y': -0.008330452, 'x': 0.5190962, 'confidence': 0.03434944}","{'y': -0.0139050875, 'x': 0.46669984, 'confidence': 0.023895942}","{'y': -0.017786907, 'x': 0.54739046, 'confidence': 0.04569611}","{'y': 0.002662315, 'x': 0.4330708, 'confidence': 0.08847099}","{'y': 0.0063270875, 'x': 0.58296734, 'confidence': 0.15245794}","{'y': 0.20347501, 'x': 0.3296763, 'confidence': 0.55555093}","{'y': 0.28940326, 'x': 0.7195995, 'confidence': 0.6426045}","{'y': 0.7717112, 'x': 0.7813351, 'confidence': 0.15677437}","{'y': 0.68064845, 'x': 0.1879963, 'confidence': 0.18797159}","{'y': 0.9524139, 'x': 0.25035307, 'confidence': 0.108651064}","{'y': 0.9544835, 'x': 0.24656352, 'confidence': 0.12249441}","{'y': 0.97909844, 'x': 0.46373853, 'confidence': 0.12417806}","{'y': 0.9770783, 'x': 0.48604694, 'confidence': 0.11717324}","{'y': 0.94356567, 'x': 0.3525086, 'confidence': 0.031722475}","{'y': 0.9961339, 'x': 0.5516092, 'confidence': 0.03985252}","{'y': 0.97806984, 'x': 0.2092025, 'confidence': 0.051421523}","{'y': 0.9861684, 'x': 0.5611067, 'confidence': 0.04892372}",1
"{'y': 0.22193289, 'x': 0.5097109, 'confidence': 0.15259801}","{'y': 0.20162648, 'x': 0.45091328, 'confidence': 0.18920693}","{'y': 0.21156989, 'x': 0.58386636, 'confidence': 0.10353845}","{'y': 0.22774515, 'x': 0.42676982, 'confidence': 0.39564618}","{'y': 0.24478038, 'x': 0.6242019, 'confidence': 0.3867021}","{'y': 0.4583808, 'x': 0.31543806, 'confidence': 0.71340805}","{'y': 0.45390207, 'x': 0.7037793, 'confidence': 0.76899314}","{'y': 0.7896266, 'x': 0.23198411, 'confidence': 0.6470111}","{'y': 0.7489687, 'x': 0.7939335, 'confidence': 0.7581168}","{'y': 0.98161304, 'x': 0.14689016, 'confidence': 0.42740667}","{'y': 0.98568624, 'x': 0.905824, 'confidence': 0.4887133}","{'y': 0.97820735, 'x': 0.35522154, 'confidence': 0.3577964}","{'y': 0.9697099, 'x': 0.60898185, 'confidence': 0.36150557}","{'y': 0.9536341, 'x': 0.2674048, 'confidence': 0.13198008}","{'y': 0.9473175, 'x': 0.67645085, 'confidence': 0.05164399}","{'y': 0.9762651, 'x': 0.27028462, 'confidence': 0.06021255}","{'y': 0.9733132, 'x': 0.63262755, 'confidence': 0.042968765}",1
"{'y': 0.2112057, 'x': 0.58772755, 'confidence': 0.5972793}","{'y': 0.18159658, 'x': 0.54164803, 'confidence': 0.5586308}","{'y': 0.18197648, 'x': 0.57292104, 'confidence': 0.5433127}","{'y': 0.22845323, 'x': 0.40028843, 'confidence': 0.50005126}","{'y': 0.21952525, 'x': 0.5310483, 'confidence': 0.7566478}","{'y': 0.4327365, 'x': 0.2871161, 'confidence': 0.8683177}","{'y': 0.44326273, 'x': 0.69141084, 'confidence': 0.9345788}","{'y': 0.7619615, 'x': 0.21391225, 'confidence': 0.7618815}","{'y': 0.7709555, 'x': 0.7851624, 'confidence': 0.7764668}","{'y': 0.9834599, 'x': 0.120431624, 'confidence': 0.37112135}","{'y': 0.9689318, 'x': 0.9004504, 'confidence': 0.38717878}","{'y': 0.9694548, 'x': 0.37657428, 'confidence': 0.5151028}","{'y': 0.96235245, 'x': 0.64102954, 'confidence': 0.6456088}","{'y': 0.8589727, 'x': 0.39417297, 'confidence': 0.15089044}","{'y': 0.88038445, 'x': 0.7468727, 'confidence': 0.121215254}","{'y': 0.9595915, 'x': 0.47924605, 'confidence': 0.37003532}","{'y': 0.9563235, 'x': 0.65159833, 'confidence': 0.1460511}",1
"{'y': 0.21586877, 'x': 0.43758172, 'confidence': 0.55087054}","{'y': 0.18816362, 'x': 0.4518389, 'confidence': 0.42094365}","{'y': 0.18722469, 'x': 0.47031143, 'confidence': 0.51849824}","{'y': 0.22075313, 'x': 0.49508855, 'confidence': 0.7221494}","{'y': 0.23963292, 'x': 0.5953221, 'confidence': 0.44565848}","{'y': 0.42115548, 'x': 0.32144052, 'confidence': 0.6613343}","{'y': 0.4540407, 'x': 0.7148568, 'confidence': 0.8848551}","{'y': 0.7504196, 'x': 0.20695989, 'confidence': 0.839012}","{'y': 0.78325504, 'x': 0.76611346, 'confidence': 0.70290756}","{'y': 0.95294905, 'x': 0.08256458, 'confidence': 0.4724139}","{'y': 0.99024975, 'x': 0.831182, 'confidence': 0.30052996}","{'y': 0.95809984, 'x': 0.31799775, 'confidence': 0.6283987}","{'y': 0.96615946, 'x': 0.57386535, 'confidence': 0.5497197}","{'y': 0.8656845, 'x': 0.19953145, 'confidence': 0.09676167}","{'y': 0.8661479, 'x': 0.55949056, 'confidence': 0.09886838}","{'y': 0.9578153, 'x': 0.3130347, 'confidence': 0.07489733}","{'y': 0.9510791, 'x': 0.4944782, 'confidence': 0.19126105}",1
"{'y': 0.23527533, 'x': 0.39789632, 'confidence': 0.3096463}","{'y': 0.21448892, 'x': 0.40443859, 'confidence': 0.2628953}","{'y': 0.217721, 'x': 0.5265593, 'confidence': 0.13001068}","{'y': 0.23153482, 'x': 0.41668195, 'confidence': 0.4946778}","{'y': 0.2383942, 'x': 0.5928004, 'confidence': 0.51659834}","{'y': 0.47710934, 'x': 0.31132662, 'confidence': 0.7141359}","{'y': 0.4352084, 'x': 0.7049525, 'confidence': 0.6521808}","{'y': 0.80042654, 'x': 0.24990454, 'confidence': 0.53533447}","{'y': 0.7217993, 'x': 0.8131456, 'confidence': 0.55289173}","{'y': 0.99008024, 'x': 0.19045389, 'confidence': 0.19299337}","{'y': 0.9482628, 'x': 0.95028764, 'confidence': 0.33786198}","{'y': 0.9838064, 'x': 0.393058, 'confidence': 0.3015733}","{'y': 0.9661886, 'x': 0.6587486, 'confidence': 0.3048257}","{'y': 0.96712035, 'x': 0.29555714, 'confidence': 0.13714321}","{'y': 0.95525414, 'x': 0.7546949, 'confidence': 0.034124676}","{'y': 0.97992724, 'x': 0.45673364, 'confidence': 0.036945507}","{'y': 0.9783952, 'x': 0.7636952, 'confidence': 0.06295851}",1
"{'y': 0.21324022, 'x': 0.5912893, 'confidence': 0.3370391}","{'y': 0.19508658, 'x': 0.5390499, 'confidence': 0.19467723}","{'y': 0.19138277, 'x': 0.5860822, 'confidence': 0.27780974}","{'y': 0.24704488, 'x': 0.37937954, 'confidence': 0.39479917}","{'y': 0.22368035, 'x': 0.55881536, 'confidence': 0.53303325}","{'y': 0.44617763, 'x': 0.3044277, 'confidence': 0.76763135}","{'y': 0.46081433, 'x': 0.6773876, 'confidence': 0.76359284}","{'y': 0.7509018, 'x': 0.21390033, 'confidence': 0.64848185}","{'y': 0.7691504, 'x': 0.76626074, 'confidence': 0.6339865}","{'y': 0.9930365, 'x': 0.10446485, 'confidence': 0.33562836}","{'y': 0.9839107, 'x': 0.8833919, 'confidence': 0.40450704}","{'y': 0.9761919, 'x': 0.38487178, 'confidence': 0.31718844}","{'y': 0.9705653, 'x': 0.6169034, 'confidence': 0.5350535}","{'y': 0.8884883, 'x': 0.36841866, 'confidence': 0.10417509}","{'y': 0.9663495, 'x': 0.7335616, 'confidence': 0.05665044}","{'y': 0.9670934, 'x': 0.53070366, 'confidence': 0.058876056}","{'y': 0.98170024, 'x': 0.7081444, 'confidence': 0.06731848}",1
"{'y': 0.08346837, 'x': 0.6640762, 'confidence': 0.08493343}","{'y': 0.051126607, 'x': 0.6399546, 'confidence': 0.12364224}","{'y': 0.054868866, 'x': 0.70723283, 'confidence': 0.11993781}","{'y': 0.10422045, 'x': 0.5951818, 'confidence': 0.3366492}","{'y': 0.092358634, 'x': 0.7485035, 'confidence': 0.22996528}","{'y': 0.38562298, 'x': 0.5233574, 'confidence': 0.5030334}","{'y': 0.326881, 'x': 0.8419969, 'confidence': 0.71118796}","{'y': 0.7566015, 'x': 0.46255833, 'confidence': 0.5110606}","{'y': 0.63846165, 'x': 0.91404676, 'confidence': 0.5407877}","{'y': 0.93707955, 'x': 0.5959959, 'confidence': 0.13744666}","{'y': 0.8710369, 'x': 0.84325457, 'confidence': 0.29460663}","{'y': 0.9433204, 'x': 0.6012899, 'confidence': 0.29067862}","{'y': 0.89703834, 'x': 0.80924386, 'confidence': 0.2288019}","{'y': 0.98341775, 'x': 0.54489654, 'confidence': 0.079262495}","{'y': 0.985862, 'x': 0.8436963, 'confidence': 0.08233969}","{'y': 0.96882194, 'x': 0.60512394, 'confidence': 0.06589588}","{'y': 0.94791913, 'x': 0.7367807, 'confidence': 0.08792501}",1
"{'y': 0.20988262, 'x': 0.65436554, 'confidence': 0.14817952}","{'y': 0.19606555, 'x': 0.6293787, 'confidence': 0.121882595}","{'y': 0.19709139, 'x': 0.7018863, 'confidence': 0.096076325}","{'y': 0.2214334, 'x': 0.5965144, 'confidence': 0.5048205}","{'y': 0.23161188, 'x': 0.7631529, 'confidence': 0.35858187}","{'y': 0.4192, 'x': 0.5143033, 'confidence': 0.7311852}","{'y': 0.44685057, 'x': 0.8452852, 'confidence': 0.7029997}","{'y': 0.75587016, 'x': 0.4265205, 'confidence': 0.55474436}","{'y': 0.8042119, 'x': 0.8753266, 'confidence': 0.3798726}","{'y': 0.9865553, 'x': 0.41519755, 'confidence': 0.29731432}","{'y': 0.97202873, 'x': 0.81910604, 'confidence': 0.17589502}","{'y': 0.91859597, 'x': 0.595615, 'confidence': 0.21161865}","{'y': 0.9179204, 'x': 0.79224735, 'confidence': 0.1697161}","{'y': 0.98194396, 'x': 0.53569406, 'confidence': 0.043885805}","{'y': 0.98092103, 'x': 0.84634936, 'confidence': 0.07879892}","{'y': 0.98809075, 'x': 0.42200163, 'confidence': 0.02621157}","{'y': 0.9874738, 'x': 0.8087047, 'confidence': 0.044802714}",1
"{'y': 0.22016342, 'x': 0.31183666, 'confidence': 0.094089784}","{'y': 0.20137064, 'x': 0.22914596, 'confidence': 0.15707877}","{'y': 0.20180795, 'x': 0.3441899, 'confidence': 0.097951755}","{'y': 0.23832263, 'x': 0.24562418, 'confidence': 0.20679891}","{'y': 0.2289811, 'x': 0.4068044, 'confidence': 0.308026}","{'y': 0.44437942, 'x': 0.15611416, 'confidence': 0.22688988}","{'y': 0.4431617, 'x': 0.47408548, 'confidence': 0.68261087}","{'y': 0.7596503, 'x': 0.12859243, 'confidence': 0.1416591}","{'y': 0.7447079, 'x': 0.58060277, 'confidence': 0.6531289}","{'y': 0.96665215, 'x': 0.22454119, 'confidence': 0.17425783}","{'y': 0.9751116, 'x': 0.5840375, 'confidence': 0.29452193}","{'y': 0.918291, 'x': 0.21686094, 'confidence': 0.100607395}","{'y': 0.9167013, 'x': 0.43921056, 'confidence': 0.13071522}","{'y': 0.98804134, 'x': 0.1594992, 'confidence': 0.051965587}","{'y': 0.9890891, 'x': 0.5067285, 'confidence': 0.033542454}","{'y': 0.98693097, 'x': 0.1935401, 'confidence': 0.047798637}","{'y': 0.9777542, 'x': 0.44595677, 'confidence': 0.048938733}",1
"{'y': 0.1394772, 'x': 0.29619333, 'confidence': 0.098463416}","{'y': 0.12585892, 'x': 0.2625801, 'confidence': 0.104505636}","{'y': 0.12488391, 'x': 0.34360623, 'confidence': 0.072085105}","{'y': 0.16335633, 'x': 0.2371934, 'confidence': 0.27024865}","{'y': 0.1506457, 'x': 0.39370355, 'confidence': 0.34344324}","{'y': 0.38009155, 'x': 0.1541157, 'confidence': 0.5701042}","{'y': 0.418778, 'x': 0.48090956, 'confidence': 0.60508394}","{'y': 0.7189882, 'x': 0.093655474, 'confidence': 0.75343204}","{'y': 0.759819, 'x': 0.5416281, 'confidence': 0.44165373}","{'y': 0.9118654, 'x': 0.16561283, 'confidence': 0.3290979}","{'y': 0.9828283, 'x': 0.5153861, 'confidence': 0.20247793}","{'y': 0.95941496, 'x': 0.20590757, 'confidence': 0.39578414}","{'y': 0.9199906, 'x': 0.3965439, 'confidence': 0.20433022}","{'y': 0.97234195, 'x': 0.14382726, 'confidence': 0.08745662}","{'y': 0.977412, 'x': 0.44801557, 'confidence': 0.038063396}","{'y': 0.959107, 'x': 0.16598205, 'confidence': 0.09110872}","{'y': 0.9786631, 'x': 0.36237767, 'confidence': 0.046443228}",1
"{'y': 0.13361406, 'x': 0.6450958, 'confidence': 0.11387943}","{'y': 0.1128773, 'x': 0.6208901, 'confidence': 0.12828355}","{'y': 0.1064287, 'x': 0.68884397, 'confidence': 0.099625945}","{'y': 0.14822814, 'x': 0.59503084, 'confidence': 0.3724501}","{'y': 0.13326125, 'x': 0.7367047, 'confidence': 0.24506117}","{'y': 0.40328184, 'x': 0.5212336, 'confidence': 0.5650288}","{'y': 0.34725845, 'x': 0.847674, 'confidence': 0.71541643}","{'y': 0.7542003, 'x': 0.46494213, 'confidence': 0.537579}","{'y': 0.66096306, 'x': 0.91175383, 'confidence': 0.59738964}","{'y': 0.9747651, 'x': 0.5117292, 'confidence': 0.2846841}","{'y': 0.88257146, 'x': 0.833825, 'confidence': 0.3934555}","{'y': 0.95534617, 'x': 0.603757, 'confidence': 0.51177704}","{'y': 0.91867274, 'x': 0.80804324, 'confidence': 0.30570093}","{'y': 0.9852726, 'x': 0.5417309, 'confidence': 0.07769009}","{'y': 0.9627376, 'x': 0.84942675, 'confidence': 0.10095046}","{'y': 0.98045534, 'x': 0.55310386, 'confidence': 0.050077904}","{'y': 0.93505317, 'x': 0.827512, 'confidence': 0.09163178}",1
"{'y': 0.07055308, 'x': 0.45520285, 'confidence': 0.4515575}","{'y': 0.036091644, 'x': 0.4833434, 'confidence': 0.34865448}","{'y': 0.03835359, 'x': 0.417897, 'confidence': 0.35535404}","{'y': 0.06216505, 'x': 0.53452057, 'confidence': 0.3671265}","{'y': 0.06693193, 'x': 0.35762474, 'confidence': 0.3157681}","{'y': 0.2829553, 'x': 0.613155, 'confidence': 0.21416263}","{'y': 0.3422466, 'x': 0.3109863, 'confidence': 0.5609604}","{'y': 0.47958666, 'x': 0.599021, 'confidence': 0.09326381}","{'y': 0.50228083, 'x': 0.50430256, 'confidence': 0.09115916}","{'y': 0.29158482, 'x': 0.48205027, 'confidence': 0.13176566}","{'y': 0.35830286, 'x': 0.59340864, 'confidence': 0.08530136}","{'y': 0.8906144, 'x': 0.6454189, 'confidence': 0.07682641}","{'y': 0.91323805, 'x': 0.51011896, 'confidence': 0.11021842}","{'y': 0.7268065, 'x': 0.5933578, 'confidence': 0.035553984}","{'y': 0.73291045, 'x': 0.54869705, 'confidence': 0.035533648}","{'y': 0.85304224, 'x': 0.53439724, 'confidence': 0.03284939}","{'y': 0.794253, 'x': 0.6366662, 'confidence': 0.038828462}",1
"{'y': 0.013715707, 'x': 0.5156078, 'confidence': 0.244593}","{'y': 0.009934067, 'x': 0.492979, 'confidence': 0.22321989}","{'y': 0.0065905554, 'x': 0.53295463, 'confidence': 0.1731712}","{'y': 0.034867547, 'x': 0.44374457, 'confidence': 0.30365628}","{'y': 0.02374726, 'x': 0.5787309, 'confidence': 0.3323265}","{'y': 0.28858313, 'x': 0.314812, 'confidence': 0.52204}","{'y': 0.3203764, 'x': 0.68566895, 'confidence': 0.47626492}","{'y': 0.485812, 'x': 0.3658693, 'confidence': 0.046697177}","{'y': 0.48438245, 'x': 0.58129585, 'confidence': 0.10635614}","{'y': 0.34089294, 'x': 0.43780285, 'confidence': 0.102943175}","{'y': 0.33048102, 'x': 0.49865824, 'confidence': 0.095017314}","{'y': 0.90439373, 'x': 0.47669774, 'confidence': 0.08591149}","{'y': 0.90776306, 'x': 0.49900058, 'confidence': 0.048513625}","{'y': 0.9670019, 'x': 0.41305, 'confidence': 0.08280122}","{'y': 0.97172403, 'x': 0.4021543, 'confidence': 0.10265329}","{'y': 0.8561527, 'x': 0.40057945, 'confidence': 0.010670456}","{'y': 0.87334126, 'x': 0.5065682, 'confidence': 0.020167805}",1
"{'y': 0.0572544, 'x': 0.46360874, 'confidence': 0.28670624}","{'y': 0.024306906, 'x': 0.47885177, 'confidence': 0.28836894}","{'y': 0.02720204, 'x': 0.44239235, 'confidence': 0.231072}","{'y': 0.046882857, 'x': 0.5274341, 'confidence': 0.38511524}","{'y': 0.044296578, 'x': 0.40752533, 'confidence': 0.24224003}","{'y': 0.27788705, 'x': 0.6491907, 'confidence': 0.4570331}","{'y': 0.33385462, 'x': 0.3166446, 'confidence': 0.60511065}","{'y': 0.40764087, 'x': 0.5300024, 'confidence': 0.088116705}","{'y': 0.47693416, 'x': 0.4973811, 'confidence': 0.115487926}","{'y': 0.23550692, 'x': 0.49234128, 'confidence': 0.18440461}","{'y': 0.285582, 'x': 0.6032556, 'confidence': 0.09609252}","{'y': 0.9368001, 'x': 0.63430566, 'confidence': 0.09821216}","{'y': 0.95085496, 'x': 0.49022245, 'confidence': 0.14022219}","{'y': 0.9495771, 'x': 0.6044908, 'confidence': 0.07072429}","{'y': 0.95946676, 'x': 0.48494554, 'confidence': 0.068058826}","{'y': 0.98489076, 'x': 0.52366537, 'confidence': 0.0388532}","{'y': 0.9641914, 'x': 0.54602265, 'confidence': 0.043889474}",1
"{'y': 0.09102646, 'x': 0.48055738, 'confidence': 0.21823871}","{'y': 0.04060242, 'x': 0.47331712, 'confidence': 0.18262479}","{'y': 0.030079244, 'x': 0.48289332, 'confidence': 0.2615425}","{'y': 0.05240493, 'x': 0.4514602, 'confidence': 0.3847666}","{'y': 0.059600145, 'x': 0.5328017, 'confidence': 0.20204821}","{'y': 0.3034645, 'x': 0.31079903, 'confidence': 0.6047472}","{'y': 0.2961853, 'x': 0.6794202, 'confidence': 0.63815117}","{'y': 0.362518, 'x': 0.40171564, 'confidence': 0.30810276}","{'y': 0.36593255, 'x': 0.6037543, 'confidence': 0.18772964}","{'y': 0.269228, 'x': 0.55440277, 'confidence': 0.073179826}","{'y': 0.21693647, 'x': 0.5012716, 'confidence': 0.24647306}","{'y': 0.9425168, 'x': 0.4626806, 'confidence': 0.1880019}","{'y': 0.98102033, 'x': 0.51019907, 'confidence': 0.2205456}","{'y': 0.8020688, 'x': 0.37102985, 'confidence': 0.06418792}","{'y': 0.80654246, 'x': 0.5968444, 'confidence': 0.023709474}","{'y': 0.78464323, 'x': 0.42669335, 'confidence': 0.0107230265}","{'y': 0.7864887, 'x': 0.5654431, 'confidence': 0.014674048}",1
"{'y': 0.070915885, 'x': 0.45689818, 'confidence': 0.18773603}","{'y': 0.026434734, 'x': 0.468033, 'confidence': 0.3492849}","{'y': 0.026110576, 'x': 0.43488148, 'confidence': 0.272238}","{'y': 0.050384853, 'x': 0.5162177, 'confidence': 0.36905277}","{'y': 0.048154946, 'x': 0.42006496, 'confidence': 0.23931408}","{'y': 0.33154878, 'x': 0.31671673, 'confidence': 0.53772604}","{'y': 0.2723073, 'x': 0.6842835, 'confidence': 0.5451344}","{'y': 0.5558474, 'x': 0.4362257, 'confidence': 0.09396647}","{'y': 0.54470026, 'x': 0.6545315, 'confidence': 0.088334255}","{'y': 0.34688947, 'x': 0.5055498, 'confidence': 0.11772983}","{'y': 0.32964492, 'x': 0.5714407, 'confidence': 0.21444297}","{'y': 0.93210214, 'x': 0.56426775, 'confidence': 0.1201736}","{'y': 0.94677794, 'x': 0.5591518, 'confidence': 0.15692186}","{'y': 0.96096385, 'x': 0.51171654, 'confidence': 0.09391297}","{'y': 0.9833215, 'x': 0.5998821, 'confidence': 0.06262063}","{'y': 0.9809721, 'x': 0.4838592, 'confidence': 0.053002123}","{'y': 0.9781693, 'x': 0.5951791, 'confidence': 0.04868389}",1
"{'y': 0.1216459, 'x': 0.45468587, 'confidence': 0.13318114}","{'y': 0.11261116, 'x': 0.43207788, 'confidence': 0.18153706}","{'y': 0.11337208, 'x': 0.47789213, 'confidence': 0.15908211}","{'y': 0.12887193, 'x': 0.39417228, 'confidence': 0.35427266}","{'y': 0.12442181, 'x': 0.50905776, 'confidence': 0.42011842}","{'y': 0.23498738, 'x': 0.31848785, 'confidence': 0.56180394}","{'y': 0.23297681, 'x': 0.6010798, 'confidence': 0.6255543}","{'y': 0.3961579, 'x': 0.26429692, 'confidence': 0.6691673}","{'y': 0.3845436, 'x': 0.6481986, 'confidence': 0.72095597}","{'y': 0.46018776, 'x': 0.385975, 'confidence': 0.27758557}","{'y': 0.4749967, 'x': 0.5451085, 'confidence': 0.43544394}","{'y': 0.5142775, 'x': 0.3868719, 'confidence': 0.7388564}","{'y': 0.50352466, 'x': 0.551336, 'confidence': 0.6519969}","{'y': 0.704949, 'x': 0.38014176, 'confidence': 0.6422347}","{'y': 0.68993336, 'x': 0.57050985, 'confidence': 0.66160953}","{'y': 0.91154337, 'x': 0.38333946, 'confidence': 0.57721424}","{'y': 0.89741737, 'x': 0.588626, 'confidence': 0.6189741}",1
"{'y': 0.1304008, 'x': 0.5813558, 'confidence': 0.3201707}","{'y': 0.11437692, 'x': 0.56805307, 'confidence': 0.48161545}","{'y': 0.11708292, 'x': 0.594032, 'confidence': 0.4281311}","{'y': 0.130307, 'x': 0.54976326, 'confidence': 0.5229687}","{'y': 0.13625033, 'x': 0.6184533, 'confidence': 0.57408124}","{'y': 0.22078626, 'x': 0.5307418, 'confidence': 0.15245475}","{'y': 0.23611234, 'x': 0.6740824, 'confidence': 0.43755922}","{'y': 0.37875852, 'x': 0.3574917, 'confidence': 0.64106786}","{'y': 0.4046667, 'x': 0.7295829, 'confidence': 0.46110114}","{'y': 0.4733678, 'x': 0.49609566, 'confidence': 0.2613755}","{'y': 0.45867294, 'x': 0.6173091, 'confidence': 0.3478228}","{'y': 0.4778614, 'x': 0.49598333, 'confidence': 0.5659987}","{'y': 0.48143744, 'x': 0.5504258, 'confidence': 0.53165895}","{'y': 0.68231124, 'x': 0.41729072, 'confidence': 0.6723678}","{'y': 0.7095841, 'x': 0.5974765, 'confidence': 0.7576211}","{'y': 0.8955373, 'x': 0.38289234, 'confidence': 0.68892777}","{'y': 0.9077931, 'x': 0.5705792, 'confidence': 0.68510675}",1
"{'y': 0.12575184, 'x': 0.50389475, 'confidence': 0.14694239}","{'y': 0.112186246, 'x': 0.47662708, 'confidence': 0.17158644}","{'y': 0.11223329, 'x': 0.53237766, 'confidence': 0.12426201}","{'y': 0.122612275, 'x': 0.4460793, 'confidence': 0.5436914}","{'y': 0.1285321, 'x': 0.55879945, 'confidence': 0.4990023}","{'y': 0.22506197, 'x': 0.36014014, 'confidence': 0.64331716}","{'y': 0.23472075, 'x': 0.6279954, 'confidence': 0.70678777}","{'y': 0.37446108, 'x': 0.2806427, 'confidence': 0.6080072}","{'y': 0.38402924, 'x': 0.66908556, 'confidence': 0.67822236}","{'y': 0.4527606, 'x': 0.40906215, 'confidence': 0.24740613}","{'y': 0.47241008, 'x': 0.5603481, 'confidence': 0.4427164}","{'y': 0.503429, 'x': 0.39391276, 'confidence': 0.65452933}","{'y': 0.50954527, 'x': 0.55031383, 'confidence': 0.70060873}","{'y': 0.68472534, 'x': 0.36006767, 'confidence': 0.6267644}","{'y': 0.70752364, 'x': 0.5450714, 'confidence': 0.7375192}","{'y': 0.89221245, 'x': 0.32420233, 'confidence': 0.5623677}","{'y': 0.9070568, 'x': 0.5248307, 'confidence': 0.71243775}",1
